iter	Logloss
0	0.6871313681
1	0.6797799401
2	0.6736116448
3	0.6679763673
4	0.6621694672
5	0.6556175142
6	0.6503252586
7	0.645009251
8	0.638065091
9	0.6319140597
10	0.6249652085
11	0.6193603175
12	0.6139011369
13	0.6087066112
14	0.6034599337
15	0.5987715243
16	0.5939393012
17	0.5895798257
18	0.5845852695
19	0.5798991771
20	0.5751600101
21	0.5715458836
22	0.565919554
23	0.5617817532
24	0.5575857051
25	0.5525151644
26	0.548280676
27	0.5436563481
28	0.5410029689
29	0.5363293422
30	0.5330388128
31	0.5291808995
32	0.5257317665
33	0.5225151337
34	0.5179351467
35	0.5132456938
36	0.510016053
37	0.5078918068
38	0.5036241465
39	0.4999876274
40	0.4953775667
41	0.4910684388
42	0.487140377
43	0.4841551747
44	0.4817444052
45	0.4780060895
46	0.4748470736
47	0.4721333433
48	0.4702986388
49	0.4671209399
50	0.4646617926
51	0.4613456882
52	0.4584691992
53	0.455350575
54	0.4519386381
55	0.4485764116
56	0.4449763854
57	0.4424014289
58	0.4406901075
59	0.4385407699
60	0.4363734237
61	0.4353815335
62	0.4321606048
63	0.4309857393
64	0.427984636
65	0.4258321176
66	0.4231823479
67	0.4215159743
68	0.4198281705
69	0.4177326463
70	0.4152123868
71	0.4131921414
72	0.4124017337
73	0.4104054882
74	0.4089524576
75	0.4064752795
76	0.4047242002
77	0.4031536512
78	0.4010062227
79	0.3987563499
80	0.3967221214
81	0.3948664059
82	0.3933241158
83	0.3928266417
84	0.3911653813
85	0.3895383883
86	0.3872412681
87	0.3857011175
88	0.3838713576
89	0.3817637944
90	0.3799641162
91	0.3789100034
92	0.3773888111
93	0.3758911887
94	0.3744136137
95	0.3725196052
96	0.3711278298
97	0.3695526727
98	0.3681976482
99	0.3664965253
100	0.3648801975
101	0.3632748976
102	0.3613355568
103	0.3599011859
104	0.3584296121
105	0.3569173662
106	0.355887358
107	0.3544275154
108	0.3536188731
109	0.3524063055
110	0.3510859736
111	0.3498863112
112	0.3487717776
113	0.3471505564
114	0.3457708863
115	0.3446420918
116	0.3432999897
117	0.342767527
118	0.3417730043
119	0.3406277204
120	0.3398447753
121	0.3388841104
122	0.3378465226
123	0.3364830272
124	0.3356742194
125	0.3344189943
126	0.3333911902
127	0.3319669011
128	0.3309962119
129	0.3299032151
130	0.3287994153
131	0.3278885604
132	0.3268880996
133	0.3256787317
134	0.3247949291
135	0.3235320449
136	0.3224549063
137	0.3217684168
138	0.320728815
139	0.3198152835
140	0.3187567624
141	0.3179191877
142	0.3167123705
143	0.3159630197
144	0.31524397
145	0.3146166497
146	0.3136672256
147	0.3128358016
148	0.3118163539
149	0.3108688297
150	0.3098674372
151	0.3095289417
152	0.3083766988
153	0.3074127494
154	0.3064017395
155	0.3056242799
156	0.304905707
157	0.3043128199
158	0.3039403891
159	0.3031286374
160	0.3025437632
161	0.3017581252
162	0.30121296
163	0.3003154427
164	0.2995696185
165	0.2987586558
166	0.2982308087
167	0.2974434279
168	0.2967268958
169	0.2960934704
170	0.2954684108
171	0.2947913849
172	0.2943087896
173	0.2934853018
174	0.2930113619
175	0.29209088
176	0.2912668507
177	0.2906248042
178	0.2902705711
179	0.2897935807
180	0.2891999527
181	0.2886821039
182	0.2880588033
183	0.2872149372
184	0.2864671972
185	0.2857672206
186	0.2849529921
187	0.2845872524
188	0.2842723661
189	0.2835741476
190	0.2828149714
